@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute inputs-105 numeric
@attribute update-1 numeric

@data
292,'2019/02/12 17:09:31:104',3,5.378999,5.378999,5.378999,5.378999,5.378999,5.378999,5.378999,5.378999,4.382555,4.382555,4.382555,4.382555,4.382555,4.382555,4.382555,3.10544,3.10544,3.10544,3.10544,3.10544,1.954207,1.954207,1.954207,1.954207,1.564685,1.564685,1.564685,1.113715,1.113715,1.113715,0.364599,0.364599,0.960964,0.960964,3.504025,3.504025,6.275718,6.275718,7.83057,7.683989,7.683989,5.895548,3.051994,0.56619,0.312557,0.300131,0.665121,0.598025,0.91033,2.192847,3.294591,3.449578,2.132779,0.518395,0.154312,1.364693,8.12042,17.89183,17.335953,6.344165,1.503202,5.660139,19.933006,19.528593,4.450905,0.765233,7.126982,4.876664,2.220461,6.813416,7.649561,0.946372,3.120633,1.685015,2.816611,2.0574,1.487422,2.006235,1.295837,0.771382,2.790865,0.202458,0.343097,0.519419,0.41315,0.363826,0.35487,0.285272,0.434855,0.486992,0.238569,0.189398,0.177841,0.296759,0.214213,0.132394,0.132108,0.238021,0.157438,0.185407,0.140192,0.223215,0.195017,0.198908,1981.054688,?
293,'2019/02/12 17:09:31:120',3,3.364233,3.364233,3.364233,3.364233,3.364233,3.364233,3.364233,3.364233,4.306912,4.306912,4.306912,4.306912,4.306912,4.306912,4.306912,4.88609,4.88609,4.88609,4.88609,4.88609,4.368723,4.368723,4.368723,4.368723,2.737163,2.737163,2.737163,0.757889,0.757889,0.757889,0.872206,0.872206,0.390214,0.390214,3.457185,3.457185,6.306448,6.306448,7.871646,7.845641,7.845641,6.279296,3.639796,1.145341,0.457443,0.36642,0.384863,0.555764,1.240404,2.345656,3.394053,3.503291,1.720834,0.40341,0.175152,1.127774,8.278106,17.894566,17.415367,6.762101,0.893812,6.609664,20.117056,19.7134,4.373543,1.854713,6.666168,5.208832,2.14544,6.197727,6.915075,1.223177,3.272995,0.97396,1.994316,2.218487,1.754259,2.224849,1.286617,0.630984,2.989763,0.317119,0.327384,0.392789,0.480835,0.387379,0.301663,0.2422,0.367419,0.66098,0.239018,0.123991,0.269517,0.227659,0.176379,0.151066,0.207881,0.173599,0.193275,0.223415,0.195455,0.192071,0.113034,0.135819,1981.054688,?
294,'2019/02/12 17:09:31:137',3,11.95203,11.95203,11.95203,11.95203,11.95203,11.95203,11.95203,11.95203,8.158894,8.158894,8.158894,8.158894,8.158894,8.158894,8.158894,3.378887,3.378887,3.378887,3.378887,3.378887,0.376284,0.376284,0.376284,0.376284,0.750365,0.750365,0.750365,1.221753,1.221753,1.221753,1.36694,1.36694,1.635319,1.635319,3.721093,3.721093,6.305632,6.305632,7.876717,7.838938,7.838938,6.16998,3.340535,0.604474,0.564895,0.420196,0.317788,0.265008,0.494005,1.859424,3.033734,3.126931,1.88143,0.53609,0.388355,1.382506,7.986857,17.812698,17.355839,7.145382,1.777403,5.034372,19.553593,20.079363,4.109079,1.095486,6.128944,5.100512,0.3818,4.683649,7.162574,0.543121,3.24533,1.730114,1.598761,1.904418,1.462623,2.112318,0.895378,0.46922,2.974427,0.203808,0.290103,0.49794,0.458689,0.345091,0.273591,0.210421,0.335659,0.500076,0.173782,0.180511,0.198788,0.25702,0.215638,0.137019,0.152379,0.219671,0.208319,0.19539,0.207384,0.235503,0.236005,0.226795,1981.054688,?
295,'2019/02/12 17:09:31:153',3,6.804131,6.804131,6.804131,6.804131,6.804131,6.804131,6.804131,6.804131,6.173768,6.173768,6.173768,6.173768,6.173768,6.173768,6.173768,4.801951,4.801951,4.801951,4.801951,4.801951,2.656165,2.656165,2.656165,2.656165,0.314378,0.314378,0.314378,1.143181,1.143181,1.143181,1.272912,1.272912,1.519603,1.519603,4.04151,4.04151,6.603344,6.603344,7.987768,7.805781,7.805781,6.069226,3.253998,0.706997,0.411969,0.076381,0.376255,0.22273,0.954753,2.271624,3.443336,3.77485,2.441395,0.754487,0.560929,1.137258,7.939446,17.766361,17.31846,6.609725,1.716612,4.861098,19.498306,19.918175,4.578447,0.900522,6.948217,5.297607,0.677755,5.870024,7.444355,0.408029,3.211205,2.039459,1.656753,2.102826,1.820707,2.181555,1.237377,0.810002,3.081414,0.252094,0.21934,0.459825,0.573378,0.374442,0.262682,0.196015,0.296775,0.496041,0.188244,0.236534,0.172064,0.143991,0.216616,0.139314,0.252314,0.159386,0.199451,0.180486,0.132465,0.165289,0.135249,0.222865,1981.054688,?
296,'2019/02/12 17:09:31:170',3,4.10115,4.10115,4.10115,4.10115,4.10115,4.10115,4.10115,4.10115,2.190407,2.190407,2.190407,2.190407,2.190407,2.190407,2.190407,1.917221,1.917221,1.917221,1.917221,1.917221,2.509753,2.509753,2.509753,2.509753,2.297896,2.297896,2.297896,1.668987,1.668987,1.668987,1.083194,1.083194,1.151575,1.151575,3.625605,3.625605,6.401888,6.401888,7.978517,7.869092,7.869092,6.096777,3.20832,0.661792,0.10861,0.273846,0.3256,0.300162,0.949585,2.102767,3.196709,3.251075,1.822043,0.506104,0.413587,1.465127,7.701242,17.55814,17.058399,6.083611,3.128209,4.893054,19.465351,20.002785,4.44564,1.31589,7.066288,4.660028,1.481543,5.215358,7.28316,0.304879,3.371193,1.637313,1.86541,1.769745,1.374717,2.067238,1.336647,0.907973,2.568076,0.263008,0.173726,0.691303,0.502782,0.366694,0.272146,0.242792,0.33523,0.518834,0.241669,0.216053,0.185984,0.226815,0.217738,0.126183,0.201866,0.161044,0.104096,0.14558,0.15291,0.167854,0.186415,0.154668,1981.054688,?
297,'2019/02/12 17:09:31:187',3,2.857869,2.857869,2.857869,2.857869,2.857869,2.857869,2.857869,2.857869,5.610154,5.610154,5.610154,5.610154,5.610154,5.610154,5.610154,5.563005,5.563005,5.563005,5.563005,5.563005,4.200836,4.200836,4.200836,4.200836,2.057494,2.057494,2.057494,0.734904,0.734904,0.734904,1.116905,1.116905,0.300367,0.300367,3.226028,3.226028,5.958011,5.958011,7.468671,7.404847,7.404847,5.811806,3.231989,0.937203,0.287043,0.279059,0.264565,0.012894,0.8957,2.24222,3.357403,3.400234,2.092944,0.77621,0.479593,1.848515,7.679946,17.621155,17.104527,6.303988,1.384695,5.454271,19.709997,19.678595,4.503482,2.26961,7.351807,4.972588,1.300704,5.00731,6.85354,0.465806,3.229707,1.809071,2.322235,2.055139,1.430253,2.066765,1.208425,0.60601,2.758335,0.324128,0.298084,0.522786,0.471702,0.323041,0.166719,0.154914,0.396848,0.406135,0.230495,0.163083,0.20947,0.269163,0.170262,0.198771,0.124676,0.195168,0.119347,0.257304,0.188848,0.196697,0.196007,0.154084,1981.054688,?
298,'2019/02/12 17:09:31:203',3,1.71505,1.71505,1.71505,1.71505,1.71505,1.71505,1.71505,1.71505,3.419026,3.419026,3.419026,3.419026,3.419026,3.419026,3.419026,3.204438,3.204438,3.204438,3.204438,3.204438,2.077575,2.077575,2.077575,2.077575,0.709977,0.709977,0.709977,1.175828,1.175828,1.175828,1.686018,1.686018,1.49522,1.49522,3.338263,3.338263,6.183312,6.183312,7.909627,8.003167,8.003167,6.494452,3.876155,1.338595,0.289742,0.19275,0.022417,0.333144,1.080838,2.250816,3.335357,3.495006,1.88933,0.653625,0.701717,1.07156,7.948099,17.660866,17.314848,7.044133,0.880083,5.02025,19.677019,20.185045,4.484995,2.697058,6.742538,4.470777,1.66792,5.183145,7.455776,0.624757,2.988873,1.741574,2.29985,2.297053,1.478716,2.029535,1.178209,0.767835,2.608422,0.195369,0.282034,0.593385,0.362209,0.249172,0.219873,0.154724,0.28975,0.551874,0.266788,0.159481,0.155654,0.254123,0.122747,0.223312,0.203764,0.195311,0.224201,0.220546,0.140979,0.179687,0.231918,0.192942,1981.054688,?
299,'2019/02/12 17:09:31:220',3,7.861054,7.861054,7.861054,7.861054,7.861054,7.861054,7.861054,7.861054,6.930905,6.930905,6.930905,6.930905,6.930905,6.930905,6.930905,5.671676,5.671676,5.671676,5.671676,5.671676,4.102608,4.102608,4.102608,4.102608,2.389773,2.389773,2.389773,0.784329,0.784329,0.784329,0.723771,0.723771,0.697591,0.697591,3.15968,3.15968,6.033789,6.033789,7.676014,7.63938,7.63938,5.95093,3.094279,0.500738,0.779231,0.557546,0.247684,0.264154,0.99487,2.316282,3.380059,3.232736,1.718699,0.505351,0.396057,1.233186,7.99362,17.73971,17.278822,6.77606,1.949626,5.223338,19.726009,20.059111,4.665059,1.091174,6.976836,5.309513,1.714378,5.175229,6.72773,0.817659,3.215528,1.2012,2.818426,1.926544,1.668335,2.12389,1.251213,0.648769,2.877245,0.237824,0.297866,0.518806,0.326337,0.481946,0.312169,0.273019,0.444377,0.400784,0.152133,0.144054,0.203646,0.215848,0.13787,0.170859,0.173553,0.195845,0.195653,0.166142,0.194958,0.220584,0.212822,0.236961,1981.054688,?
300,'2019/02/12 17:09:31:237',3,6.232483,6.232483,6.232483,6.232483,6.232483,6.232483,6.232483,6.232483,5.629999,5.629999,5.629999,5.629999,5.629999,5.629999,5.629999,3.82321,3.82321,3.82321,3.82321,3.82321,2.26546,2.26546,2.26546,2.26546,1.901422,1.901422,1.901422,0.785859,0.785859,0.785859,0.827925,0.827925,0.11277,0.11277,2.96125,2.96125,5.980811,5.980811,7.596774,7.483424,7.483424,5.767567,3.053691,0.749764,0.542008,0.313589,0.174044,0.082228,0.86139,2.198596,3.352407,3.544029,2.200792,0.767865,0.859383,1.218578,8.014686,17.85697,17.377693,6.968108,1.32369,5.712326,19.853445,20.225842,4.83687,3.067593,7.385056,4.030644,0.598312,4.532527,6.492733,0.575482,3.445406,1.9457,2.495164,2.112669,1.74344,2.219943,1.150129,0.757284,2.628437,0.233026,0.407302,0.607025,0.466917,0.331505,0.196971,0.210362,0.303786,0.630721,0.250571,0.12889,0.239741,0.221206,0.268403,0.152802,0.141373,0.174787,0.165109,0.182604,0.122578,0.163931,0.212378,0.278248,1981.054688,?
301,'2019/02/12 17:09:31:253',3,3.72001,3.72001,3.72001,3.72001,3.72001,3.72001,3.72001,3.72001,1.904852,1.904852,1.904852,1.904852,1.904852,1.904852,1.904852,2.828453,2.828453,2.828453,2.828453,2.828453,2.979372,2.979372,2.979372,2.979372,1.935837,1.935837,1.935837,0.32422,0.32422,0.32422,1.04367,1.04367,2.253493,2.253493,4.30815,4.30815,6.527304,6.527304,7.874398,7.809781,7.809781,6.242429,3.613832,1.145238,0.088489,0.059402,0.130056,0.119989,0.726998,2.106643,3.351353,3.581974,2.072634,0.669941,0.453096,1.264575,7.95815,17.636295,17.147341,6.641339,1.243428,5.245881,19.463505,19.797697,3.45408,0.83723,6.802444,5.340782,1.020094,6.139848,7.393662,0.378234,2.444342,1.115606,2.219165,2.050615,1.517962,2.011808,1.439572,0.885266,2.795902,0.354628,0.285541,0.520414,0.421326,0.415698,0.253852,0.202826,0.24479,0.444792,0.237088,0.239935,0.31747,0.243825,0.225286,0.193094,0.193859,0.170666,0.136674,0.149141,0.204224,0.139354,0.133958,0.150107,1981.054688,?
302,'2019/02/12 17:09:31:270',3,10.818535,10.818535,10.818535,10.818535,10.818535,10.818535,10.818535,10.818535,7.302396,7.302396,7.302396,7.302396,7.302396,7.302396,7.302396,3.301427,3.301427,3.301427,3.301427,3.301427,1.355394,1.355394,1.355394,1.355394,0.735138,0.735138,0.735138,0.445349,0.445349,0.445349,0.821039,0.821039,1.628757,1.628757,3.673935,3.673935,6.174135,6.174135,7.684434,7.622111,7.622111,5.999784,3.335715,0.902959,0.348298,0.316565,0.445705,0.693432,1.452957,2.62703,3.562533,3.347869,1.834243,0.584619,0.751323,0.838992,8.058027,17.553574,17.035091,6.660642,1.278268,5.519387,19.839386,19.870625,4.782959,1.482767,6.850513,4.505605,0.816432,6.016026,7.192821,0.451806,2.614216,1.754865,2.37379,2.215174,2.103732,2.026094,1.205132,0.528037,2.528013,0.146095,0.308117,0.523702,0.437052,0.488385,0.254493,0.270635,0.31501,0.524442,0.137607,0.236786,0.182972,0.296898,0.227801,0.125818,0.214946,0.192055,0.13788,0.165427,0.210527,0.117462,0.181324,0.239485,1981.054688,?
303,'2019/02/12 17:09:31:287',3,8.395097,8.395097,8.395097,8.395097,8.395097,8.395097,8.395097,8.395097,7.19122,7.19122,7.19122,7.19122,7.19122,7.19122,7.19122,7.064063,7.064063,7.064063,7.064063,7.064063,6.579586,6.579586,6.579586,6.579586,5.133533,5.133533,5.133533,3.389438,3.389438,3.389438,1.942635,1.942635,0.977445,0.977445,3.392184,3.392184,6.087303,6.087303,7.576042,7.443757,7.443757,5.781557,3.193954,0.959235,0.20999,0.236431,0.340536,0.285435,0.800122,1.994389,3.164791,3.37383,1.649887,0.325267,0.050282,1.575388,7.782498,17.554123,17.063044,6.428762,0.922921,5.520398,19.929647,20.110352,4.18832,1.565544,6.777003,5.199412,0.800317,4.890495,6.775304,0.245564,2.301474,1.150182,2.783686,2.204372,1.392316,2.044849,1.179384,0.517404,2.664811,0.218313,0.275214,0.618956,0.193473,0.380155,0.21997,0.147237,0.280925,0.531674,0.238329,0.24448,0.153605,0.221195,0.154902,0.120179,0.254366,0.189785,0.144105,0.203553,0.147177,0.148548,0.165896,0.24521,1981.054688,?
304,'2019/02/12 17:09:31:303',3,5.566263,5.566263,5.566263,5.566263,5.566263,5.566263,5.566263,5.566263,4.942278,4.942278,4.942278,4.942278,4.942278,4.942278,4.942278,5.143661,5.143661,5.143661,5.143661,5.143661,4.999437,4.999437,4.999437,4.999437,4.075495,4.075495,4.075495,2.73542,2.73542,2.73542,1.440752,1.440752,0.641333,0.641333,3.042521,3.042521,5.830392,5.830392,7.516186,7.594725,7.594725,6.080994,3.45758,0.952578,0.464011,0.463811,0.288964,0.202446,0.923189,2.174728,3.214739,3.203586,1.641342,0.47728,0.521031,1.317641,7.851554,17.554651,17.138632,6.816283,1.557544,4.74606,19.493721,20.052717,4.156842,1.438463,7.635487,4.653521,0.653231,5.533715,6.986217,0.560251,3.064201,2.126005,2.789937,2.131565,2.025832,2.081221,1.502524,0.735433,2.631269,0.348411,0.339918,0.6716,0.371292,0.460362,0.243341,0.390125,0.364192,0.480566,0.256457,0.208367,0.256507,0.231146,0.186144,0.183284,0.119136,0.174506,0.162029,0.214998,0.173434,0.148045,0.14047,0.202981,1981.054688,?
305,'2019/02/12 17:09:31:320',3,9.983439,9.983439,9.983439,9.983439,9.983439,9.983439,9.983439,9.983439,8.110675,8.110675,8.110675,8.110675,8.110675,8.110675,8.110675,5.401709,5.401709,5.401709,5.401709,5.401709,2.304157,2.304157,2.304157,2.304157,0.350958,0.350958,0.350958,0.185482,0.185482,0.185482,0.77831,0.77831,1.894262,1.894262,4.036566,4.036566,6.417979,6.417979,7.829616,7.710172,7.710172,6.0327,3.270962,0.687481,0.598047,0.401251,0.113732,0.489228,1.446097,2.686394,3.639552,3.600717,2.054424,0.616148,0.492672,1.2807,7.781068,17.568817,17.05002,6.209842,1.92858,5.0552,19.507626,19.558008,4.814923,2.195854,8.090948,5.036097,1.238962,5.514411,6.930597,0.603869,2.808511,0.807147,2.214267,2.35636,1.621471,2.137003,1.383765,0.707108,2.563691,0.260646,0.306545,0.657538,0.511153,0.521066,0.189655,0.134187,0.223221,0.397205,0.220602,0.217565,0.265488,0.320766,0.18902,0.195218,0.123895,0.168058,0.247902,0.16825,0.210264,0.154969,0.174947,0.179703,1981.054688,?
306,'2019/02/12 17:09:31:337',3,7.034593,7.034593,7.034593,7.034593,7.034593,7.034593,7.034593,7.034593,4.430434,4.430434,4.430434,4.430434,4.430434,4.430434,4.430434,2.066012,2.066012,2.066012,2.066012,2.066012,1.5978,1.5978,1.5978,1.5978,1.454756,1.454756,1.454756,1.627017,1.627017,1.627017,1.762658,1.762658,0.705794,0.705794,3.000429,3.000429,6.005034,6.005034,7.739901,7.847955,7.847955,6.373549,3.769912,1.148293,0.378216,0.42608,0.270523,0.322067,0.772605,1.987736,3.218212,3.445683,1.59159,0.187065,0.086374,1.478634,7.807737,17.577724,17.123005,6.718928,1.336688,5.18185,19.877533,19.842093,3.60965,2.07178,7.803012,5.752228,0.401057,5.461097,6.886535,0.485049,2.722361,2.160083,2.481116,1.856679,1.450447,2.08132,1.32836,0.575435,2.77703,0.183238,0.160981,0.730985,0.378173,0.499701,0.178066,0.162409,0.252648,0.40332,0.262531,0.113318,0.18077,0.288362,0.141535,0.152022,0.230788,0.165676,0.17416,0.127711,0.193085,0.169244,0.242022,0.210002,1981.054688,?
307,'2019/02/12 17:09:31:353',3,2.460452,2.460452,2.460452,2.460452,2.460452,2.460452,2.460452,2.460452,3.039519,3.039519,3.039519,3.039519,3.039519,3.039519,3.039519,3.323989,3.323989,3.323989,3.323989,3.323989,3.135511,3.135511,3.135511,3.135511,2.380169,2.380169,2.380169,1.334258,1.334258,1.334258,0.818515,0.818515,1.116787,1.116787,3.494802,3.494802,6.019022,6.019022,7.44629,7.374181,7.374181,5.828503,3.278286,0.870777,0.263485,0.317619,0.275003,0.282939,0.871215,2.077248,3.177113,3.341854,2.200482,0.688188,0.539186,0.93412,8.08053,17.485176,16.828766,6.118701,2.427047,5.831463,19.751863,19.73284,3.793757,2.058742,8.468183,5.977522,0.730143,4.976204,6.564455,0.483689,2.26046,1.632768,2.145092,1.914753,1.468598,2.070993,1.199297,0.89475,2.531387,0.229436,0.375241,0.617696,0.445328,0.429465,0.178408,0.297294,0.391125,0.459616,0.29848,0.137847,0.125388,0.347508,0.212231,0.14881,0.186449,0.285572,0.1375,0.194362,0.187985,0.189871,0.201871,0.132099,1981.054688,?
308,'2019/02/12 17:09:31:370',3,5.547749,5.547749,5.547749,5.547749,5.547749,5.547749,5.547749,5.547749,2.808121,2.808121,2.808121,2.808121,2.808121,2.808121,2.808121,1.839373,1.839373,1.839373,1.839373,1.839373,2.013778,2.013778,2.013778,2.013778,1.14207,1.14207,1.14207,1.156698,1.156698,1.156698,1.609587,1.609587,1.884663,1.884663,3.882187,3.882187,6.269642,6.269642,7.59704,7.431596,7.431596,5.820465,3.279964,0.993032,0.132462,0.394591,0.601384,0.378555,0.828102,2.081505,3.192505,3.424615,1.912061,0.400905,0.114909,1.088576,7.793243,17.299646,16.837755,6.428282,1.320539,4.580301,19.437449,20.123285,4.502586,2.510689,8.28715,5.788558,1.606672,5.034397,6.808902,0.830076,2.468717,0.715305,1.240506,1.584974,1.616314,1.932142,1.372058,0.632221,2.453876,0.245571,0.30693,0.563648,0.475647,0.358526,0.282559,0.256441,0.442045,0.495359,0.137172,0.165549,0.095305,0.280555,0.209657,0.185774,0.187771,0.169313,0.169889,0.160847,0.188741,0.193004,0.162349,0.166067,1981.054688,?
309,'2019/02/12 17:09:31:387',3,0.879166,0.879166,0.879166,0.879166,0.879166,0.879166,0.879166,0.879166,1.137789,1.137789,1.137789,1.137789,1.137789,1.137789,1.137789,1.687766,1.687766,1.687766,1.687766,1.687766,1.957346,1.957346,1.957346,1.957346,1.66684,1.66684,1.66684,1.057018,1.057018,1.057018,0.899494,0.899494,1.001756,1.001756,3.380242,3.380242,6.179248,6.179248,7.809849,7.760518,7.760518,6.009364,3.024066,0.275274,0.935786,0.762029,0.523926,0.468823,1.11006,2.341984,3.419013,3.490668,1.829332,0.583342,0.318843,1.321728,7.752628,17.331718,16.889843,6.705139,1.769401,5.279034,19.620138,19.987995,4.160523,1.719574,8.315129,5.170765,0.894853,5.174708,6.903519,0.811088,2.489583,1.409765,2.035755,1.890247,1.75192,2.227469,1.430403,0.73338,2.39209,0.184217,0.285228,0.750277,0.327128,0.46842,0.28306,0.203827,0.380137,0.494765,0.178622,0.236994,0.130591,0.194919,0.24591,0.181368,0.208727,0.176757,0.179143,0.16837,0.237701,0.176471,0.164954,0.157554,1981.054688,?
310,'2019/02/12 17:09:31:403',3,6.134705,6.134705,6.134705,6.134705,6.134705,6.134705,6.134705,6.134705,4.248089,4.248089,4.248089,4.248089,4.248089,4.248089,4.248089,2.603553,2.603553,2.603553,2.603553,2.603553,1.765154,1.765154,1.765154,1.765154,1.246712,1.246712,1.246712,1.277198,1.277198,1.277198,1.48073,1.48073,0.494107,0.494107,2.641437,2.641437,5.710046,5.710046,7.497857,7.605727,7.605727,6.106273,3.523668,1.200619,0.848499,0.676955,0.40944,0.486207,1.057283,2.116644,3.034858,3.031598,1.809572,0.510142,0.209795,1.185828,7.79383,17.274168,16.797232,6.757687,1.452367,5.860596,20.332169,19.925982,3.833229,2.285749,7.200462,5.417211,1.652083,5.572214,6.490472,0.866142,3.037662,1.747899,2.9471,1.712849,1.460031,2.109149,1.527332,0.713751,2.376044,0.308051,0.446633,0.662897,0.257379,0.401982,0.273311,0.162415,0.271673,0.410812,0.190633,0.225986,0.212993,0.273229,0.23831,0.11466,0.192471,0.177782,0.149172,0.148434,0.191599,0.187069,0.175903,0.188295,1981.054688,?
311,'2019/02/12 17:09:31:420',3,6.61482,6.61482,6.61482,6.61482,6.61482,6.61482,6.61482,6.61482,2.266438,2.266438,2.266438,2.266438,2.266438,2.266438,2.266438,3.586066,3.586066,3.586066,3.586066,3.586066,4.72581,4.72581,4.72581,4.72581,3.929164,3.929164,3.929164,2.460275,2.460275,2.460275,1.389735,1.389735,0.577505,0.577505,3.082947,3.082947,5.936363,5.936363,7.571494,7.540486,7.540486,5.867558,3.039357,0.384186,0.525181,0.1326,0.298039,0.371269,0.92668,2.020828,3.081142,3.244628,1.528109,0.572493,0.639417,0.870091,8.03356,17.31361,16.646896,5.891235,0.811998,5.233738,19.91386,20.167053,4.334475,0.885688,7.363461,5.271393,1.60964,6.77756,7.170835,0.44679,2.463837,1.265328,2.090835,1.880082,1.728764,2.14208,1.495185,0.629685,2.336739,0.211411,0.234242,0.696535,0.104643,0.399478,0.363758,0.237163,0.255747,0.368072,0.208316,0.226872,0.249806,0.303673,0.294236,0.12205,0.190832,0.184347,0.173318,0.210627,0.216574,0.171655,0.17685,0.161949,1981.054688,?
312,'2019/02/12 17:09:31:437',3,2.004326,2.004326,2.004326,2.004326,2.004326,2.004326,2.004326,2.004326,2.73294,2.73294,2.73294,2.73294,2.73294,2.73294,2.73294,3.251056,3.251056,3.251056,3.251056,3.251056,3.150128,3.150128,3.150128,3.150128,2.428357,2.428357,2.428357,1.569965,1.569965,1.569965,1.012878,1.012878,1.286093,1.286093,3.482889,3.482889,6.009519,6.009519,7.527355,7.492528,7.492528,5.873121,3.145902,0.746642,0.705892,0.448334,0.209884,0.30901,0.884915,1.946878,2.884234,2.884567,1.869027,0.690524,0.457814,1.777357,7.756751,17.353748,16.808483,6.286436,1.749409,4.830688,19.256458,19.803078,4.58416,1.396518,8.335664,5.891159,1.173829,5.103521,6.772405,0.627154,2.365038,1.326422,2.202301,1.913905,1.645817,1.95284,1.612818,0.490835,2.455925,0.283032,0.251156,0.559492,0.459368,0.316778,0.162524,0.30723,0.292918,0.39757,0.199088,0.180233,0.168695,0.255262,0.229113,0.202947,0.194698,0.168773,0.139412,0.228763,0.132821,0.196541,0.142118,0.162613,1981.054688,?
313,'2019/02/12 17:09:31:453',3,0.499056,0.499056,0.499056,0.499056,0.499056,0.499056,0.499056,0.499056,0.374649,0.374649,0.374649,0.374649,0.374649,0.374649,0.374649,0.792605,0.792605,0.792605,0.792605,0.792605,1.962971,1.962971,1.962971,1.962971,2.768028,2.768028,2.768028,2.890818,2.890818,2.890818,2.294469,2.294469,1.096369,1.096369,3.352041,3.352041,6.157259,6.157259,7.698569,7.595553,7.595553,5.89297,3.130734,0.632361,0.277804,0.136159,0.291435,0.092366,0.911456,2.059237,2.951893,2.941725,1.696836,0.589748,0.696709,0.862694,7.809985,17.252235,16.811447,6.74155,1.596203,5.46541,19.701874,19.844622,4.135375,2.453511,6.274045,5.36405,1.295599,6.685356,7.162174,0.486541,2.12053,1.871206,1.980833,1.861859,1.448612,1.948421,1.579461,0.665881,2.500775,0.210628,0.247066,0.730645,0.272613,0.412726,0.245427,0.210595,0.303809,0.430491,0.281554,0.258346,0.136872,0.156088,0.193405,0.166893,0.173875,0.179563,0.177085,0.169508,0.198914,0.16675,0.169768,0.15858,1981.054688,?
